"ID","MonthlyIncome"
871,5944.09958045318
872,2155.3545421726
873,14203.4731219277
874,2083.92883879015
875,2146.55848365204
876,6906.61320698734
877,6014.04131031972
878,2010.74701867597
879,2228.48247099933
880,15004.3512612192
881,11066.8997590413
882,2240.94804484408
883,5926.26226583996
884,5934.30286478071
885,6384.60911258489
886,5909.90892474265
887,6204.92513758092
888,6192.9967713876
889,6140.81151920312
890,2147.31394323185
891,6002.35814169851
892,9991.94100477349
893,9807.18437786059
894,5927.71929371215
895,11092.7507269515
896,9995.15414937741
897,10253.5489671248
898,13990.353950793
899,6034.7657350336
900,2250.44567165701
901,2257.00229708184
902,6401.71791326202
903,6595.05942554732
904,2407.46487771093
905,14682.2722501706
906,5901.89527144562
907,10524.4433831408
908,6045.74733536243
909,2005.64742112332
910,1974.69685566042
911,18464.8900881029
912,2173.1649111421
913,2240.94804484408
914,10059.9693360476
915,6181.31360276639
916,5937.21692052508
917,2033.68393084185
918,5900.41129792972
919,1977.6109114048
920,2644.24947494759
921,2094.88349347527
922,1972.51131385215
923,6282.23284373955
924,6236.65810826735
925,15267.6614490148
926,2325.05757399965
927,6036.22276290578
928,10190.6542578273
929,1981.98199502135
930,2205.57250447718
931,6174.94828362622
932,9949.28032504566
933,9838.86345725958
934,2081.06867433322
935,1983.43902289354
936,2203.11481945307
937,10481.5375058409
938,10540.551526666
939,6636.23613175924
940,1977.6109114048
941,2707.58068810185
942,10006.8373179986
943,10572.7479468529
944,5906.26635506218
945,1956.8595410472
946,5926.26226583996
947,1982.71050895745
948,2035.14095871403
949,2209.94358809374
950,6073.08227678858
951,2358.22062691455
952,6008.94171276707
953,6114.9874969366
954,2153.1420547206
955,6141.56697878294
956,9946.39321494501
957,11658.1440150179
958,2296.26560470131
959,10805.0465991179
960,18597.5493785428
961,2117.06494606133
962,6002.35814169851
963,6427.54193552854
964,6225.67650793851
965,2007.8329629316
966,18052.6353176181
967,2089.0284363428
968,9842.50602694004
969,15296.9097890334
970,2160.45413972525
971,5955.75580343067
972,6071.57135762896
973,2124.37703106598
974,1983.43902289354
975,5936.48840658898
976,2060.99192662428
977,6865.43650077542
978,2144.39988748748
979,10039.4901089058
980,18577.5463889847
981,2147.31394323185
982,10390.8444056167
983,2238.78944867952
984,2125.83405893816
985,6046.47584929852
986,2309.43274683843
987,2016.60207580844
988,6055.97347611146
989,10148.7220920355
990,2066.11846982065
991,6392.19334080537
992,2092.67100602327
993,6128.3728910021
994,6063.31250675983
995,5954.32572120221
996,6202.98479334474
997,2061.018872268
998,14482.8645076047
999,9968.54772188735
1000,1974.69685566042
1001,6609.68359555662
1002,6058.21290920718
1003,6070.84284369286
1004,6824.96136285587
1005,2284.60938172382
1006,6179.82962925048
1007,2011.47553261207
1008,6308.81232558588
1009,18554.8816200347
1010,6312.7539841259
1011,10591.9543736269
1012,6471.65964312855
1013,6120.33229206136
1014,6201.28256790045
1015,6113.50352342069
1016,2232.17893196724
1017,2254.3603845533
1018,9843.23454087614
1019,9972.19029156781
1020,1956.8595410472
1021,6033.33565280513
1022,6156.91966272833
1023,6120.11404013297
1024,10325.7372088672
1025,14441.1435149611
1026,18286.417943399
1027,6251.25533263293
1028,5901.13981186581
1029,5943.07197765754
1030,10367.669374659
1031,5902.62378538172
1032,2253.63187061721
1033,9821.02614264635
1034,1979.06793927698
1035,6162.29140349681
1036,1983.43902289354
1037,5929.17632158433
1038,10239.9523999111
1039,9985.38437934865
1040,6170.30505679383
1041,2150.22799897622
1042,2218.0111326782
1043,9877.12610772713
1044,6257.60078490961
1045,2089.7569502789
1046,1977.6109114048
1047,6016.98231170781
1048,9970.00474975954
1049,2174.59499337056
1050,6123.02809587734
1051,10537.6176040581
1052,2168.03836794573
1053,6075.99633253296
1054,2256.27378314575
1055,2187.76213550768
1056,2258.45932495403
1057,6066.19961686048
1058,14156.1422697237
1059,6596.48950777578
1060,2152.4135407845
1061,6136.73952444611
1062,6006.72922531507
1063,6244.91695913648
1064,2037.32650052231
1065,6315.69498551399
1066,2128.01960074644
1067,3020.86364062989
1068,18226.7363787055
1069,5929.93178116415
1070,2114.93329554049
1071,2228.96578736332
1072,6121.06080599745
1073,2011.47553261207
1074,6141.54003313922
1075,6114.31287428795
1076,14218.3155438654
1077,18312.5410545251
1078,6036.95127684188
1079,6102.54886873558
1080,6765.94734203073
1081,2372.84479692385
1082,2056.62084300772
1083,1981.25348108526
1084,6312.70009283846
1085,9875.66907985494
1086,10189.1972299551
1087,5959.42531875486
1088,2283.6087245719
1089,2150.22799897622
1090,5927.71929371215
1091,5954.29877555849
1092,6173.49125575403
1093,9841.77751300395
1094,6015.52528383563
1095,5929.17632158433
1096,6045.74733536243
1097,2904.31957249551
1098,2185.5765936994
1099,2170.9524236901
1100,6032.58019322532
1101,17801.0082984438
1102,6078.18187434124
1103,6289.06161238021
1104,11569.6364566021
1105,2237.27852951989
1106,2207.75804628546
1107,2202.63150308909
